Unnamed: 0,qqq,pgim jennison,pimco income,acwi etf,world momentum,wcm global,pgim global ig,global  aggregate ,Unnamed: 25,10,ARY India,Unnamed: 34,Unnamed: 37,Unnamed: 40,Unnamed: 43,Unnamed: 46
2000-01-04,-0.06860158311345643,-0.015254745254745239,0.04700000000000015,-0.00930593253198908,-0.016011069381300702,0.007914999999999894,-0.0006000000000000449,-0.0014951258895999908,-0.0008237232289950436,0.006103763987792554,0.003034096029639999,0.0009467342450033556,0.003451307979775775,-0.0009000000000000119,0.0040000000000000036,0.006504000000000065
2000-01-05,-0.025495750708215303,-0.0006594097775252106,-0.006685768863419317,-0.00450097847358133,-0.008336681398151802,0.0066047236126063336,-0.0023013808284971793,0.0004991215460790066,0.0,0.0,-0.0011780209248462015,0.0005541277742215911,0.010362126755318002,-0.00020018016214584655,0.008964143426295035,0.009172343080603662
2000-01-06,-0.0687209302325581,0.0027104397612378595,0.0009615384615384581,0.0,0.006786184543705165,0.0005066175687875596,-0.0019055260254738915,-0.00075828627302299,0.002473206924979321,-0.015166835187057637,0.002628685657171337,0.0005442722507089659,0.002732003469210653,-0.0009009910901992546,0.000987166831194486,-0.0019375113218395024
2000-01-07,0.12373579722811834,0.0016502151354087502,0.0057636887608070175,0.0,-0.023038229376257657,0.00131614464193186,-0.0009043408360127625,-0.0014977533699451762,-0.005756578947368474,-0.01642710472279263,0.0011962557195976942,0.00020041227668343709,-0.004778791679280414,-0.0012024048096191953,-0.002958579881656931,0.0022598858910518604
2000-01-10,0.02777777777777768,0.0010208413349774847,0.0009551098376312517,0.026341655199528358,-0.011636288744722445,-0.0010369708644638598,-0.0004022930705018801,0.0,-0.008271298593879206,-0.0010438413361169019,0.018380412812521785,-0.00014312294260765412,0.002390005431830655,-0.0017054574638843967,-0.0009891196834816984,0.004009609678178316
2000-01-11,-0.048648648648648596,0.0067448176980784424,0.000954198473282375,-0.03907297452595282,-0.005834548864346756,-0.0051557661852648096,-0.001509206157561227,0.0032600000000000406,-0.0008340283569641116,0.004179728317659226,-0.008936340793320285,-0.00018131501097440328,-0.000693616560095478,0.003718219274444712,0.002970297029702973,-0.001341981878833498
2000-01-12,-0.02204545454545448,0.004122077687624737,0.0009532888465204614,0.015347817420769294,-0.025047159924544093,-0.005930902168328367,-0.0021160822249092215,-0.002252656340330561,-0.0016694490818029983,-0.013527575442247586,0.004251960735954352,0.0011930782372984172,-0.0013665054334858207,0.0006007208650380402,0.001974333662388972,-0.003500319995602519
2000-01-13,0.06030676272368107,0.0001498232086138973,0.0019047619047618536,0.012760109933254826,0.010534236267870645,0.007771809166432719,0.0007068565081287392,0.0009990009990010762,0.0016722408026754731,0.014767932489451407,-0.005697669849502929,0.00018113178767542593,0.003084274543874832,0.00020012007204317506,-0.0009852216748768017,0.0022606427514633154
2000-01-14,0.02334246575342469,-0.0026664536166897124,0.000950570342205248,-0.004845900368288469,0.021274332517817296,-0.0019427914137709612,-0.00020181634712412855,0.0009980039920158834,-0.0075125208681134925,0.015592515592515621,0.0048411318368637435,0.00019063051041312562,0.0030747910441297766,0.0004001600640257674,0.0009861932938854956,-0.003530245416921929
2000-01-18,0.005354465624330729,0.0024232471511826947,0.0,-0.0035060381768602378,-0.0010415581710239152,-0.00591892908770475,0.0006055712555510517,0.0009970089730806375,0.00420521446593769,0.0061412487205732,0.0060861699408096825,0.00011435650640878592,-0.0017269665831965986,-0.0020999999999999908,0.005911330049261032,0.008334147022243776
2000-01-19,0.0225820195994888,0.0027370439924880863,0.003798670465337217,0.009577795152462931,0.0205400896673964,0.003508957153471881,0.002219084123461723,-0.0019920318725099584,-0.005862646566164198,-0.0010172939979653517,0.01106279012948952,0.00053360267563618,-0.006141337254562673,-0.005311153422186576,0.0009794319294809117,0.0071423610873369014
2000-01-20,-0.009791666666666643,-0.0032675180809308424,0.0009460737937558861,-0.014520813165537216,0.009399264405394403,0.0069209200764248635,0.005837359098228578,0.0009980039920158834,-0.002527379949452402,0.0010183299389001643,0.008873251689107464,-0.0001428530613410972,0.004460400348128779,0.005440257908523094,-0.00391389432485334,-0.003005867025104636
2000-01-21,0.012518409425625876,0.0023987046994622396,0.0,-0.010216110019646285,0.005769230769230749,-0.005305086850836416,-0.00490294176505901,-0.001994017946161497,0.0,0.010172939979654183,-0.001274251497005885,0.0001714481655046285,0.009899274342034081,0.0,-0.003929273084479323,0.007686852569460445
2000-01-24,-0.04800000000000004,0.001485632241210899,0.000945179584120881,0.02639936482731242,0.0017107779007750068,-0.001289247222321488,-0.0005027652086475598,0.0017582417582417964,0.0008445945945945166,-0.009063444108761365,-0.003021814623664243,0.00012380244938392515,0.0033889580026595922,0.00681362725450918,-0.0039447731755425375,0.00046111504772095024
2000-01-25,0.014951435119502365,0.0017422816921039974,0.0018885741265344258,-0.008315606265712594,-0.0013060076351216754,-0.00010716252486808742,0.0001006036217303663,0.0002393394231918755,0.0025316455696202667,0.007113821138211351,0.005754038892684443,0.0004284938915815051,0.005728943993159374,-0.00328423566878977,-0.003960396039603853,-0.0014870628431404853
2000-01-26,-0.040322580645161255,-0.0014510326184181688,0.002827521206409056,-0.009360374414976724,0.009556382657680329,0.002170273700589531,0.00020118700331961392,0.0007577268195413378,-0.002525252525252597,0.010090817356205761,-0.0029562305668501265,-0.0017608314931849556,0.003677095732018465,0.012780828756864704,0.00397614314115291,0.010827502184564075
